density,category
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
2.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
1.75,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
1.5,HighConfNDD
1.75,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
1.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.5,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
1.5,HighConfNDD
1.5,HighConfNDD
1.5,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
1.5,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
1.25,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
2.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
1.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
1.0,HighConfNDD
1.25,HighConfNDD
2.5,HighConfNDD
1.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
1.75,HighConfNDD
1.5,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
1.75,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
1.75,HighConfNDD
1.0,HighConfNDD
1.75,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
1.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.5,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
1.25,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
1.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
2.75,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
1.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
1.75,HighConfNDD
1.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
1.0,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
1.25,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
1.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.75,HighConfNDD
0.25,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.5,HighConfNDD
0.25,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
1.25,HighConfNDD
0.75,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.0,HighConfNDD
0.5,HighConfNDD
